,date,open,close,high,low,volume,code,m5,m10,m30
0,2012/1/4,6.133,6.04,6.148,6.025,342013,600000,6.040 ,6.040 ,6.040 
1,2012/1/5,6.083,6.212,6.334,6.083,1321162,600000,6.212 ,6.212 ,6.212 
2,2012/1/6,6.198,6.255,6.306,6.191,617786,600000,6.255 ,6.255 ,6.255 
3,2012/1/9,6.262,6.428,6.456,6.234,801362,600000,6.428 ,6.428 ,6.428 
4,2012/1/10,6.428,6.514,6.535,6.377,720046,600000,6.290 ,6.514 ,6.514 
5,2012/1/11,6.499,6.464,6.535,6.449,492611,600000,6.375 ,6.464 ,6.464 
6,2012/1/12,6.464,6.528,6.614,6.456,604869,600000,6.438 ,6.528 ,6.528 
7,2012/1/13,6.543,6.492,6.593,6.442,567253,600000,6.485 ,6.492 ,6.492 
8,2012/1/16,6.464,6.442,6.55,6.435,331001,600000,6.488 ,6.442 ,6.442 
9,2012/1/17,6.464,6.607,6.65,6.313,973572,600000,6.507 ,6.398 ,6.607 
10,2012/1/18,6.578,6.492,6.629,6.464,580892,600000,6.512 ,6.443 ,6.492 
11,2012/1/19,6.499,6.607,6.621,6.478,686455,600000,6.528 ,6.483 ,6.607 
12,2012/1/20,6.643,6.765,6.772,6.586,950527,600000,6.583 ,6.534 ,6.765 
13,2012/1/30,6.751,6.621,6.758,6.607,718831,600000,6.618 ,6.553 ,6.621 
14,2012/1/31,6.636,6.621,6.665,6.578,354641,600000,6.621 ,6.564 ,6.621 
15,2012/2/1,6.607,6.521,6.65,6.499,396478,600000,6.627 ,6.570 ,6.521 
16,2012/2/2,6.55,6.751,6.765,6.521,879733,600000,6.656 ,6.592 ,6.751 
17,2012/2/3,6.715,6.779,6.823,6.693,971353,600000,6.659 ,6.621 ,6.779 
18,2012/2/6,6.794,6.744,6.83,6.672,636912,600000,6.683 ,6.651 ,6.744 
19,2012/2/7,6.693,6.636,6.722,6.593,513914,600000,6.686 ,6.654 ,6.636 
20,2012/2/8,6.629,6.787,6.808,6.629,642707,600000,6.739 ,6.683 ,6.787 
21,2012/2/9,6.787,6.751,6.808,6.722,502738,600000,6.739 ,6.698 ,6.751 
22,2012/2/10,6.722,6.729,6.808,6.693,518364,600000,6.729 ,6.694 ,6.729 
23,2012/2/13,6.643,6.657,6.729,6.593,492049,600000,6.712 ,6.698 ,6.657 
24,2012/2/14,6.636,6.6,6.665,6.557,530248,600000,6.705 ,6.696 ,6.600 
25,2012/2/15,6.578,6.629,6.672,6.564,550647,600000,6.673 ,6.706 ,6.629 
26,2012/2/16,6.643,6.6,6.665,6.564,475017,600000,6.643 ,6.691 ,6.600 
27,2012/2/17,6.643,6.65,6.686,6.607,417432,600000,6.627 ,6.678 ,6.650 
28,2012/2/20,6.758,6.65,6.758,6.643,577400,600000,6.626 ,6.669 ,6.650 
29,2012/2/21,6.657,6.665,6.686,6.607,427573,600000,6.639 ,6.672 ,6.575 
30,2012/2/22,6.665,6.693,6.722,6.607,814477,600000,6.652 ,6.662 ,6.596 
31,2012/2/23,6.693,6.7,6.751,6.665,877548,600000,6.672 ,6.657 ,6.613 
32,2012/2/24,6.715,6.83,6.844,6.686,1283418,600000,6.708 ,6.667 ,6.632 
33,2012/2/27,6.873,6.808,6.909,6.787,1266640,600000,6.739 ,6.683 ,6.644 
34,2012/2/28,6.808,6.937,6.966,6.794,1361211,600000,6.794 ,6.716 ,6.659 
35,2012/2/29,6.945,6.851,6.945,6.83,777578,600000,6.825 ,6.738 ,6.671 
36,2012/3/1,6.823,6.858,6.887,6.815,462378,600000,6.857 ,6.764 ,6.682 
37,2012/3/2,6.858,6.959,6.966,6.851,740131,600000,6.883 ,6.795 ,6.698 
38,2012/3/5,6.995,6.88,7.002,6.88,660980,600000,6.897 ,6.818 ,6.713 
