,date,open,close,high,low,volume,code,m5,m10,m30
0,2012/1/31,6.133,6.621,6.772,6.025,10063021.00 ,600000,6.621,6.621,6.621
1,2012/2/29,6.607,6.851,6.966,6.499,14913437.00 ,600000,6.851,6.851,6.851
2,2012/3/30,6.823,6.413,7.002,6.356,12072395.00 ,600000,6.413,6.413,6.413
3,2012/4/27,6.392,6.758,6.858,6.306,9815780.00 ,600000,6.758,6.758,6.758
4,2012/5/31,6.808,6.298,6.887,6.284,14616718.00 ,600000,6.5882,6.298,6.298
5,2012/6/29,6.306,6.057,6.349,5.882,11742314.00 ,600000,6.4754,6.057,6.057
6,2012/7/31,6.072,5.707,6.094,5.491,12418343.00 ,600000,6.2466,5.707,5.707
7,2012/8/31,5.714,5.669,5.848,5.505,10342520.00 ,600000,6.0978,5.669,5.669
8,2012/9/28,5.684,5.498,5.796,5.289,10259940.00 ,600000,5.8458,5.498,5.498
9,2012/10/31,5.498,5.595,5.722,5.424,6644594.00 ,600000,5.7052,6.1467,5.595
10,2012/11/30,5.602,5.558,5.796,5.461,7830476.00 ,600000,5.6054,6.0404,5.558
11,2012/12/31,5.558,7.39,7.42,5.461,34906175.00 ,600000,5.942,6.0943,7.39
12,2013/1/31,7.524,8.552,8.567,7.264,36928265.00 ,600000,6.5186,6.3082,8.552
13,2013/2/28,8.5,8.24,9.141,7.45,29869877.00 ,600000,7.067,6.4564,8.24
14,2013/3/29,8.247,7.547,8.426,7.211,35130400.00 ,600000,7.4574,6.5813,7.547
15,2013/4/26,7.495,7.36,7.666,7.018,15782434.00 ,600000,7.8178,6.7116,7.36
16,2013/5/31,7.279,7.8,7.912,7.197,18834334.00 ,600000,7.8998,6.9209,7.8
17,2013/6/28,7.839,6.51,7.871,5.645,18913297.00 ,600000,7.4914,7.005,6.51
18,2013/7/31,6.463,6.18,7.013,6.062,20309296.00 ,600000,7.0794,7.0732,6.18
19,2013/8/30,6.227,7.069,7.241,6.188,25740467.00 ,600000,6.9838,7.2206,7.069
20,2013/9/30,7.163,7.933,9.75,6.99,87784355.00 ,600000,7.0984,7.4581,7.933
21,2013/10/31,7.886,8.122,8.405,7.705,43984230.00 ,600000,7.1628,7.5313,8.122
22,2013/11/29,8.114,7.855,8.287,7.383,29371324.00 ,600000,7.4318,7.4616,7.855
23,2013/12/31,7.941,7.414,8.311,7.124,26992169.00 ,600000,7.6786,7.379,7.414
24,2014/1/30,7.422,7.21,7.446,7.084,15516901.00 ,600000,7.7068,7.3453,7.21
25,2014/2/28,7.179,7.006,7.737,6.896,18734099.00 ,600000,7.5214,7.3099,7.006
26,2014/3/31,7.006,7.642,7.871,6.597,37469275.00 ,600000,7.4254,7.2941,7.642
27,2014/4/30,7.595,7.682,8.185,7.525,33418102.00 ,600000,7.3908,7.4113,7.682
28,2014/5/30,7.682,7.525,7.831,7.399,15659167.00 ,600000,7.413,7.5458,7.525
29,2014/6/30,7.54,7.637,7.76,7.391,13695392.00 ,600000,7.4984,7.6026,6.989966667
30,2014/7/31,7.663,8.27,8.372,7.511,21609244.00 ,600000,7.7512,7.6363,7.044933333
31,2014/8/29,8.245,7.992,8.405,7.899,21594059.00 ,600000,7.8212,7.6233,7.082966667
32,2014/9/30,8.009,8.228,8.363,7.966,27721527.00 ,600000,7.9304,7.6606,7.143466667
33,2014/10/31,8.253,8.608,8.76,7.933,27985651.00 ,600000,8.147,7.78,7.205133333
34,2014/11/28,8.65,10.464,10.532,8.397,65368269.00 ,600000,8.7124,8.1054,7.344
35,2014/12/31,10.507,13.241,13.401,10.152,130357157.00 ,600000,9.7066,8.7289,7.583466667
36,2015/1/30,13.401,12.211,14.135,12.085,74414556.00 ,600000,10.5504,9.1858,7.800266667
37,2015/2/27,11.865,12.262,12.49,11.688,28578227.00 ,600000,11.3572,9.6438,8.020033333
38,2015/3/31,12.304,13.325,13.992,11.401,72236876.00 ,600000,12.3006,10.2238,8.280933333
39,2015/4/30,13.325,15.249,16.076,13.291,92159812.00 ,600000,13.2576,10.985,8.602733333
40,2015/5/29,15.19,14.38,15.739,13.789,50521173.00 ,600000,13.4854,11.596,8.8968
41,2015/6/30,14.38,14.979,16.178,13.08,46443314.00 ,600000,14.039,12.2947,9.149766667
42,2015/7/31,14.847,13.31,16.03,12.912,73421485.00 ,600000,14.2486,12.8029,9.308366667
43,2015/8/31,13.239,13.213,14.008,10.519,31414535.00 ,600000,14.2262,13.2634,9.474133333
44,2015/9/30,12.948,14.688,14.705,12.506,31378333.00 ,600000,14.114,13.6858,9.712166667
45,2015/10/30,14.838,14.476,14.838,13.893,7456397.00 ,600000,14.1332,13.8093,9.949366667
46,2015/11/30,14.396,16.472,17.399,14.326,25269780.00 ,600000,14.4318,14.2354,10.23843333
47,2015/12/31,16.207,16.136,17.77,15.924,17389714.00 ,600000,14.997,14.6228,10.5593
48,2016/1/29,16.145,14.926,16.145,14.025,8924893.00 ,600000,15.3396,14.7829,10.85083333
49,2016/2/15,15.006,16.295,16.322,14.493,2751720.00 ,600000,15.661,14.8875,11.15836667
50,2016/3/31,15.465,15.836,16.454,14.67,6833886.00 ,600000,15.933,15.0331,11.4218
51,2016/4/29,15.88,15.748,16.216,15.288,5430018.00 ,600000,15.7882,15.11,11.676
52,2016/5/31,15.853,16.154,16.251,15.032,3533798.00 ,600000,15.7918,15.3944,11.95263333
53,2016/6/30,16.163,15.57,16.207,15.08,3926227.00 ,600000,15.9206,15.6301,12.2245
54,2016/7/29,15.57,15.7,16.03,15.4,4455288.00 ,600000,15.8016,15.7313,12.5075
55,2016/8/31,15.68,16.48,17.02,15.49,6412713.00 ,600000,15.9304,15.9317,12.8233
56,2016/9/30,16.48,16.49,16.66,16.26,3630562.00 ,600000,16.0788,15.9335,13.11823333
57,2016/10/31,16.53,16.27,16.6,16.01,2326166.00 ,600000,16.102,15.9469,13.4045
58,2016/11/30,16.26,17.16,17.49,16.18,5196236.00 ,600000,16.42,16.1703,13.72566667
59,2016/12/30,17.15,16.21,17.57,15.99,4263169.00 ,600000,16.522,16.1618,14.01143333
60,2017/1/26,16.21,16.74,16.84,16.1,3022545.00 ,600000,16.574,16.2522,14.29376667
61,2017/2/28,16.82,16.59,17.08,16.53,2787929.00 ,600000,16.594,16.3364,14.58036667
62,2017/3/24,16.58,15.96,16.62,15.7,3430658.00 ,600000,16.532,16.317,14.8381
