,date,open,close,high,low,volume,code,m5,m10,m30
0,2012/1/6,6.133,6.255,6.334,6.025,2280961,600000,6.255,6.255,6.255
1,2012/1/13,6.262,6.492,6.614,6.234,3186141,600000,6.492,6.492,6.492
2,2012/1/20,6.464,6.765,6.772,6.313,3522447,600000,6.765,6.765,6.765
3,2012/2/3,6.751,6.779,6.823,6.499,3321036,600000,6.779,6.779,6.779
4,2012/2/10,6.794,6.729,6.83,6.593,2814635,600000,6.604,6.729,6.729
5,2012/2/17,6.643,6.65,6.729,6.557,2465393,600000,6.683,6.65,6.65
6,2012/2/24,6.758,6.83,6.844,6.607,3980416,600000,6.7506,6.83,6.83
7,2012/3/2,6.873,6.959,6.966,6.787,4607938,600000,6.7894,6.959,6.959
8,2012/3/9,6.995,6.801,7.002,6.7,2879645,600000,6.7938,6.801,6.801
9,2012/3/16,6.779,6.643,6.902,6.578,3567530,600000,6.7766,6.6903,6.643
10,2012/3/23,6.65,6.507,6.693,6.478,2387400,600000,6.748,6.7155,6.507
11,2012/3/30,6.499,6.413,6.586,6.356,2035311,600000,6.6646,6.7076,6.413
12,2012/4/6,6.392,6.42,6.435,6.327,1330344,600000,6.5568,6.6731,6.42
13,2012/4/13,6.385,6.564,6.571,6.306,2451810,600000,6.5094,6.6516,6.564
14,2012/4/20,6.521,6.686,6.693,6.406,2809274,600000,6.518,6.6473,6.686
15,2012/4/27,6.657,6.758,6.858,6.614,3224352,600000,6.5682,6.6581,6.758
16,2012/5/4,6.808,6.815,6.887,6.744,2399167,600000,6.6486,6.6566,6.815
17,2012/5/11,6.772,6.578,6.808,6.543,3371227,600000,6.6802,6.6185,6.578
18,2012/5/18,6.614,6.363,6.629,6.334,3119049,600000,6.64,6.5747,6.363
19,2012/5/25,6.363,6.313,6.442,6.298,2718538,600000,6.5654,6.5417,6.313
20,2012/6/1,6.32,6.306,6.449,6.284,3432753,600000,6.475,6.5216,6.306
21,2012/6/8,6.255,5.99,6.255,5.968,3773697,600000,6.31,6.4793,5.99
22,2012/6/15,6.004,6.083,6.126,5.882,3683094,600000,6.211,6.4456,6.083
23,2012/6/21,6.083,6.061,6.183,6.033,1866451,600000,6.1506,6.3953,6.061
24,2012/6/29,6.047,6.057,6.09,5.967,1995056,600000,6.0994,6.3324,6.057
25,2012/7/6,6.072,5.938,6.094,5.87,2727580,600000,6.0258,6.2504,5.938
26,2012/7/13,5.908,5.759,5.915,5.647,3301623,600000,5.9796,6.1448,5.759
27,2012/7/20,5.774,5.669,5.774,5.662,2573299,600000,5.8968,6.0539,5.669
28,2012/7/27,5.64,5.58,5.64,5.491,2493228,600000,5.8006,5.9756,5.58
29,2012/8/3,5.602,5.766,5.789,5.58,3140215,600000,5.7424,5.9209,6.3843
30,2012/8/10,5.759,5.811,5.848,5.699,2144178,600000,5.717,5.8714,6.3695
31,2012/8/17,5.811,5.625,5.833,5.587,2505336,600000,5.6902,5.8349,6.3406
32,2012/8/24,5.602,5.58,5.632,5.55,1719635,600000,5.6724,5.7846,6.3011
33,2012/8/31,5.55,5.669,5.722,5.505,2155769,600000,5.6902,5.7454,6.2641
34,2012/9/7,5.684,5.662,5.796,5.424,3572326,600000,5.6694,5.7059,6.228533333
35,2012/9/14,5.654,5.602,5.669,5.528,2451320,600000,5.6276,5.6723,6.1936
36,2012/9/21,5.602,5.371,5.602,5.349,1899809,600000,5.5768,5.6335,6.144966667
37,2012/9/28,5.349,5.498,5.505,5.289,2336485,600000,5.5604,5.6164,6.096266667
38,2012/10/12,5.498,5.55,5.587,5.424,1756097,600000,5.5366,5.6134,6.054566667
39,2012/10/19,5.558,5.647,5.699,5.491,2104430,600000,5.5336,5.6015,6.021366667
40,2012/10/26,5.617,5.558,5.722,5.528,1767360,600000,5.5248,5.5762,5.989733333
41,2012/11/2,5.543,5.722,5.736,5.513,2064632,600000,5.595,5.5859,5.9667
42,2012/11/9,5.736,5.61,5.796,5.587,1909331,600000,5.6174,5.5889,5.9397
43,2012/11/16,5.617,5.483,5.692,5.468,1656465,600000,5.604,5.5703,5.903666667
44,2012/11/23,5.483,5.595,5.632,5.461,1326004,600000,5.5936,5.5636,5.8673
45,2012/11/30,5.587,5.558,5.617,5.491,1890751,600000,5.5936,5.5592,5.8273
46,2012/12/7,5.558,6.154,6.168,5.461,6601300,600000,5.68,5.6375,5.805266667
47,2012/12/14,6.221,6.63,6.697,6.146,9728013,600000,5.884,5.7507,5.807
48,2012/12/21,6.705,6.683,6.921,6.615,9469046,600000,6.124,5.864,5.817666667
49,2012/12/28,6.66,7.144,7.182,6.66,7123300,600000,6.4338,6.0137,5.845366667
50,2013/1/4,7.182,7.465,7.644,7.174,4598884,600000,6.8152,6.2044,5.884
